,Date ,Open ,High ,Low ,Close ,SMA
0,26-Feb-24,22169.2,22202.15,22075.15,22122.05,
1,27-Feb-24,22090.2,22218.25,22085.65,22198.35,
2,28-Feb-24,22214.1,22229.15,21915.85,21951.15,
3,29-Feb-24,21935.2,22060.55,21860.65,21982.8,
4,01-Mar-24,22048.3,22353.3,22047.75,22338.75,
5,02-Mar-24,22406.95,22419.55,22367.05,22378.4,
6,04-Mar-24,22403.5,22440.9,22358.3,22405.6,
7,05-Mar-24,22371.25,22416.9,22269.15,22356.3,
8,06-Mar-24,22327.5,22497.2,22224.35,22474.05,
9,07-Mar-24,22505.3,22525.65,22430.0,22493.55,
10,11-Mar-24,22517.5,22526.6,22307.25,22332.65,
11,12-Mar-24,22334.45,22452.55,22256.0,22335.7,
12,13-Mar-24,22432.2,22446.75,21905.65,21997.7,
13,14-Mar-24,21982.55,22204.6,21917.5,22146.65,
14,15-Mar-24,22064.85,22120.9,21931.7,22023.35,
15,18-Mar-24,21990.1,22123.7,21916.55,22055.7,
16,19-Mar-24,21946.45,21978.3,21793.1,21817.45,
17,20-Mar-24,21843.9,21930.9,21710.2,21839.1,
18,21-Mar-24,21989.9,22080.95,21941.3,22011.95,
19,22-Mar-24,21932.2,22180.7,21883.3,22096.75,
20,26-Mar-24,21947.9,22073.2,21947.55,22004.7,22160.128571428573
21,27-Mar-24,22053.95,22193.6,22052.85,22123.65,22160.204761904763
22,28-Mar-24,22163.6,22516.0,22163.6,22326.9,22166.32619047619
23,01-Apr-24,22455.0,22529.95,22427.75,22462.0,22190.652380952382
24,02-Apr-24,22458.8,22497.6,22388.15,22453.3,22213.057142857142
25,03-Apr-24,22385.7,22521.1,22346.5,22434.65,22217.62380952381
26,04-Apr-24,22592.1,22619.0,22303.8,22514.65,22224.111904761903
27,05-Apr-24,22486.4,22537.6,22427.6,22513.7,22229.259523809524
28,08-Apr-24,22578.35,22697.3,22550.35,22666.3,22244.021428571425
29,09-Apr-24,22765.1,22768.4,22612.25,22642.75,22252.054761904765
30,10-Apr-24,22720.25,22775.7,22673.7,22753.8,22264.44761904762
31,12-Apr-24,22677.4,22726.45,22503.75,22519.4,22273.340476190475
32,15-Apr-24,22339.05,22427.45,22259.55,22272.5,22270.33095238095
33,16-Apr-24,22125.3,22213.75,22079.45,22147.9,22277.483333333334
34,18-Apr-24,22212.35,22326.5,21961.7,21995.85,22270.30238095238
35,19-Apr-24,21861.5,22179.55,21777.65,22147.0,22276.190476190477
36,22-Apr-24,22336.9,22375.65,22198.15,22336.4,22289.557142857142
37,23-Apr-24,22447.05,22447.55,22349.45,22368.0,22315.77380952381
38,24-Apr-24,22421.55,22476.45,22384.0,22402.4,22342.59761904762
39,25-Apr-24,22316.9,22625.95,22305.25,22570.35,22369.188095238096
40,26-Apr-24,22620.4,22620.4,22385.55,22419.95,22384.578571428574
41,29-Apr-24,22475.55,22655.8,22441.9,22643.4,22414.992857142857
42,30-Apr-24,22679.65,22783.35,22568.4,22604.85,22437.907142857144
43,02-May-24,22567.85,22710.5,22567.85,22648.2,22453.207142857143
44,03-May-24,22766.35,22794.7,22348.05,22475.85,22453.86666666667
45,06-May-24,22561.6,22588.8,22409.45,22442.7,22453.361904761907
46,07-May-24,22489.75,22499.05,22232.05,22302.5,22447.069047619047
47,08-May-24,22231.2,22368.65,22185.2,22302.5,22436.966666666667
48,09-May-24,22224.8,22307.75,21932.4,21957.5,22410.480952380953
49,10-May-24,21990.95,22131.3,21950.3,22055.2,22381.380952380954
50,13-May-24,22027.95,22131.65,21821.05,22104.05,22355.72857142857
51,14-May-24,22112.9,22270.05,22081.25,22217.85,22330.207142857143
52,15-May-24,22255.6,22297.55,22151.75,22200.55,22315.02380952381
53,16-May-24,22319.2,22432.25,22054.55,22403.85,22321.278571428575
54,17-May-24,22415.25,22502.15,22345.65,22466.1,22336.430952380953
55,18-May-24,22512.85,22520.25,22470.05,22502.0,22360.533333333333
56,21-May-24,22404.55,22591.1,22404.55,22529.05,22378.72619047619
57,22-May-24,22576.6,22629.5,22483.15,22597.8,22391.173809523807
58,23-May-24,22614.1,22993.6,22577.45,22967.65,22419.72857142857
59,24-May-24,22930.75,23026.4,22908.0,22957.1,22446.142857142855
60,27-May-24,23038.95,23110.8,22871.2,22932.45,22463.385714285712
61,28-May-24,22977.15,22998.55,22858.5,22888.15,22485.680952380953
62,29-May-24,22762.75,22825.5,22685.45,22704.7,22488.600000000002
63,30-May-24,22617.45,22705.75,22417.0,22488.65,22483.066666666666
64,31-May-24,22568.1,22653.75,22465.1,22530.7,22477.471428571425
65,03-Jun-24,23337.9,23338.7,23062.3,23263.9,22514.99761904762
66,04-Jun-24,23179.5,23179.5,21281.45,21884.5,22488.416666666668
67,05-Jun-24,22128.35,22670.4,21791.95,22620.35,22503.55238095238
68,06-Jun-24,22798.6,22910.15,22642.6,22821.4,22528.261904761905
69,07-Jun-24,22821.85,23320.2,22789.05,23290.15,22591.721428571425
70,10-Jun-24,23319.15,23411.9,23227.15,23259.2,22649.05476190476
71,11-Jun-24,23283.75,23389.45,23206.65,23264.85,22704.33095238095
72,12-Jun-24,23344.45,23441.95,23295.95,23322.95,22756.954761904763
